cosecha,codmes,maduracion,saldo_inicial,provisionporc,pdponderado,rango_pd,provisionporcacum,acumulado30
202201,202201,0,626454521.520000,0.010812,0.043268,4. Medio I,0.010812,0.102074
202201,202202,1,626454521.520000,-0.001439,0.043268,4. Medio I,0.009373,0.102074
202201,202203,2,626454521.520000,0.001518,0.043268,4. Medio I,0.010891,0.102074
202201,202204,3,626454521.520000,0.004848,0.043268,4. Medio I,0.015739,0.102074
202201,202205,4,626454521.520000,0.005408,0.043268,4. Medio I,0.021147,0.102074
202201,202206,5,626454521.520000,0.006430,0.043268,4. Medio I,0.027577,0.102074
202201,202207,6,626454521.520000,0.007247,0.043268,4. Medio I,0.034824,0.102074
202201,202208,7,626454521.520000,0.004992,0.043268,4. Medio I,0.039816,0.102074
202201,202209,8,626454521.520000,0.003804,0.043268,4. Medio I,0.043620,0.102074
202201,202210,9,626454521.520000,0.004257,0.043268,4. Medio I,0.047877,0.102074
202201,202211,10,626454521.520000,0.004010,0.043268,4. Medio I,0.051887,0.102074
202201,202212,11,626454521.520000,0.003115,0.043268,4. Medio I,0.055002,0.102074
202201,202301,12,626454521.520000,0.004036,0.043268,4. Medio I,0.059038,0.102074
202201,202302,13,626454521.520000,0.003205,0.043268,4. Medio I,0.062243,0.102074
202201,202303,14,626454521.520000,0.005086,0.043268,4. Medio I,0.067329,0.102074
202201,202304,15,626454521.520000,0.004208,0.043268,4. Medio I,0.071537,0.102074
202201,202305,16,626454521.520000,0.003674,0.043268,4. Medio I,0.075211,0.102074
202201,202306,17,626454521.520000,0.003240,0.043268,4. Medio I,0.078451,0.102074
202201,202307,18,626454521.520000,0.003124,0.043268,4. Medio I,0.081575,0.102074
202201,202308,19,626454521.520000,0.001814,0.043268,4. Medio I,0.083389,0.102074
202201,202309,20,626454521.520000,0.002229,0.043268,4. Medio I,0.085618,0.102074
202201,202310,21,626454521.520000,0.002355,0.043268,4. Medio I,0.087973,0.102074
202201,202311,22,626454521.520000,0.002505,0.043268,4. Medio I,0.090478,0.102074
202201,202312,23,626454521.520000,0.001659,0.043268,4. Medio I,0.092137,0.102074
202201,202401,24,626454521.520000,0.002206,0.043268,4. Medio I,0.094343,0.102074
202201,202402,25,626454521.520000,0.001315,0.043268,4. Medio I,0.095658,0.102074
202201,202403,26,626454521.520000,0.001603,0.043268,4. Medio I,0.097261,0.102074
202201,202404,27,626454521.520000,0.001630,0.043268,4. Medio I,0.098891,0.102074
202201,202405,28,626454521.520000,0.001217,0.043268,4. Medio I,0.100108,0.102074
202201,202406,29,626454521.520000,0.000795,0.043268,4. Medio I,0.100903,0.102074
202201,202407,30,626454521.520000,0.001171,0.043268,4. Medio I,0.102074,0.102074
202201,202408,31,626454521.520000,0.000620,0.043268,4. Medio I,0.102694,0.102074
202201,202409,32,626454521.520000,0.000335,0.043268,4. Medio I,0.103029,0.102074
202201,202410,33,626454521.520000,0.000387,0.043268,4. Medio I,0.103416,0.102074
202201,202411,34,626454521.520000,0.000634,0.043268,4. Medio I,0.104050,0.102074
202201,202412,35,626454521.520000,0.000369,0.043268,4. Medio I,0.104419,0.102074
202201,202501,36,626454521.520000,0.000261,0.043268,4. Medio I,0.104680,0.102074
202201,202502,37,626454521.520000,0.000278,0.043268,4. Medio I,0.104958,0.102074
202201,202503,38,626454521.520000,0.000562,0.043268,4. Medio I,0.105520,0.102074
